Date,Year,Month,Region,CustomerSegment,Channel,Category,SubCategory,Product,Quantity,UnitPrice,DiscountRate,Sales,Cost,Profit
2023-08-26,2023,8,Philadelphia,Consumer,In-Store,Electronics,Electronics,Samsung Galaxy S23,37,492.27,0.09,16574.73,14819.97,1754.76
2025-01-07,2025,1,San Jose,Home Office,In-Store,Electronics,Electronics,Fitbit Versa 4,88,183.55,0.24,12275.82,8587.89,3687.93
2025-06-10,2025,6,Chicago,Consumer,Online,Office Supplies,Office Supplies,Printer Paper,88,321.83,0.29,20107.94,16655.26,3452.68
2023-01-10,2023,1,Dallas,Home Office,In-Store,Clothing,Clothing,Sneakers,41,259.21,0.04,10202.51,7487.45,2715.06
2024-09-09,2024,9,San Jose,Home Office,Online,Office Supplies,Office Supplies,Desk Lamp,94,350.62,0.1,29662.45,18469.56,11192.89
2023-02-01,2023,2,San Antonio,Consumer,Online,Office Supplies,Office Supplies,Ballpoint Pen,65,908.43,0.3,41333.56,25823.99,15509.57
2023-01-21,2023,1,Philadelphia,Home Office,Online,Electronics,Electronics,Samsung Galaxy S23,49,304.77,0.17,12395.0,9045.99,3349.01
2025-07-29,2025,7,New York,Corporate,Online,Furniture,Furniture,Conference Table,52,792.39,0.06,38732.02,30485.55,8246.47
2023-03-18,2023,3,San Antonio,Home Office,In-Store,Office Supplies,Office Supplies,Stapler,47,773.33,0.15,30894.53,23726.13,7168.4
2025-03-11,2025,3,Philadelphia,Home Office,In-Store,Furniture,Furniture,Bookshelf,6,358.14,0.16,1805.03,1235.57,569.46
2025-01-16,2025,1,Dallas,Small Business,In-Store,Clothing,Clothing,Women's Jeans,32,361.61,0.19,9372.93,5974.61,3398.32
2024-11-07,2024,11,Los Angeles,Consumer,Online,Clothing,Clothing,Socks,34,880.35,0.28,21550.97,18829.16,2721.81
2024-01-27,2024,1,San Diego,Small Business,Online,Furniture,Furniture,Conference Table,58,903.81,0.21,41412.57,35225.94,6186.63
2023-12-23,2023,12,New York,Consumer,In-Store,Clothing,Clothing,Socks,98,927.64,0.01,89999.63,61312.75,28686.88
2023-04-13,2023,4,San Antonio,Corporate,In-Store,Clothing,Clothing,Socks,64,234.61,0.19,12162.18,10142.12,2020.06
2025-04-21,2025,4,San Antonio,Corporate,In-Store,Electronics,Electronics,Kindle Paperwhite,31,785.48,0.18,19966.9,12234.21,7732.69
2025-10-26,2025,10,Houston,Consumer,In-Store,Furniture,Furniture,Standing Desk,57,607.4,0.13,30120.97,21775.82,8345.15
2023-02-08,2023,2,San Antonio,Consumer,Online,Office Supplies,Office Supplies,Printer Paper,75,283.72,0.25,15959.25,12113.03,3846.22
2025-02-06,2025,2,San Antonio,Consumer,Online,Clothing,Clothing,Socks,15,782.21,0.07,10911.83,8767.56,2144.27
2023-12-13,2023,12,San Jose,Small Business,In-Store,Office Supplies,Office Supplies,Desk Lamp,45,125.84,0.07,5266.4,4043.52,1222.88
2025-04-08,2025,4,Philadelphia,Consumer,In-Store,Office Supplies,Office Supplies,Stapler,17,638.62,0.27,7925.27,6749.96,1175.31
2023-02-09,2023,2,New York,Home Office,In-Store,Furniture,Furniture,Standing Desk,20,439.53,0.15,7472.01,6270.93,1201.08
2023-10-29,2023,10,New York,Home Office,In-Store,Office Supplies,Office Supplies,Notebook,53,455.91,0.11,21505.27,16887.29,4617.98
2024-10-02,2024,10,Philadelphia,Consumer,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,5,495.41,0.07,2303.66,1871.61,432.05
2025-04-29,2025,4,San Diego,Corporate,Online,Clothing,Clothing,Sneakers,10,761.47,0.17,6320.2,4337.23,1982.97
2024-09-21,2024,9,San Diego,Corporate,Online,Furniture,Furniture,Office Chair,21,601.74,0.09,11499.25,8113.32,3385.93
2025-11-08,2025,11,San Jose,Corporate,In-Store,Electronics,Electronics,Fitbit Versa 4,95,493.21,0.08,43106.55,31791.6,11314.95
2025-03-22,2025,3,San Jose,Home Office,In-Store,Electronics,Electronics,Kindle Paperwhite,47,700.65,0.02,32271.94,21299.92,10972.02
2025-03-03,2025,3,New York,Corporate,In-Store,Furniture,Furniture,Office Chair,10,206.9,0.25,1551.75,974.55,577.2
2023-08-10,2023,8,Chicago,Consumer,In-Store,Clothing,Clothing,Men's T-Shirt,11,404.96,0.2,3563.65,2773.38,790.27
2024-08-12,2024,8,Philadelphia,Home Office,In-Store,Electronics,Electronics,Samsung Galaxy S23,54,631.76,0.19,27633.18,17648.38,9984.8
2025-06-28,2025,6,San Jose,Small Business,Online,Furniture,Furniture,Standing Desk,58,717.96,0.03,40392.43,25389.33,15003.1
2024-06-09,2024,6,Philadelphia,Home Office,In-Store,Office Supplies,Office Supplies,Printer Paper,6,268.17,0.26,1190.67,954.73,235.94
2025-10-07,2025,10,Houston,Small Business,In-Store,Electronics,Electronics,MacBook Pro 16,56,487.04,0.24,20728.42,17288.41,3440.01
2024-08-09,2024,8,Los Angeles,Consumer,Online,Electronics,Electronics,GoPro HERO11,6,695.06,0.22,3252.88,2784.03,468.85
2023-09-21,2023,9,San Diego,Corporate,Online,Furniture,Furniture,Standing Desk,53,53.67,0.06,2673.84,2037.73,636.11
2023-10-10,2023,10,Dallas,Small Business,In-Store,Clothing,Clothing,Sneakers,71,456.84,0.06,30489.5,25749.57,4739.93
2025-07-07,2025,7,Phoenix,Home Office,In-Store,Electronics,Electronics,Nikon D3500 DSLR,90,972.97,0.25,65675.48,42599.33,23076.15
2025-02-21,2025,2,Los Angeles,Consumer,In-Store,Electronics,Electronics,Nikon D3500 DSLR,17,271.42,0.28,3322.18,2539.34,782.84
2024-01-27,2024,1,Houston,Corporate,In-Store,Furniture,Furniture,Standing Desk,75,493.41,0.24,28124.37,23988.06,4136.31
2024-01-04,2024,1,Houston,Small Business,Online,Office Supplies,Office Supplies,Stapler,85,345.96,0.08,27054.07,18988.91,8065.16
2025-06-28,2025,6,San Diego,Small Business,In-Store,Clothing,Clothing,Women's Jeans,36,957.41,0.27,25160.73,18204.22,6956.51
2025-09-23,2025,9,San Antonio,Consumer,Online,Clothing,Clothing,Men's T-Shirt,64,133.34,0.0,8533.76,5802.2,2731.56
2023-11-14,2023,11,Houston,Corporate,Online,Clothing,Clothing,Socks,11,495.83,0.08,5017.8,3892.28,1125.52
2024-12-06,2024,12,Houston,Home Office,Online,Furniture,Furniture,Conference Table,19,701.26,0.23,10259.43,6866.64,3392.79
2024-08-09,2024,8,New York,Consumer,In-Store,Electronics,Electronics,GoPro HERO11,29,798.32,0.28,16668.92,14414.1,2254.82
2023-12-22,2023,12,Philadelphia,Corporate,In-Store,Electronics,Electronics,Nikon D3500 DSLR,3,186.93,0.0,560.79,394.67,166.12
2024-12-05,2024,12,Chicago,Small Business,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,35,66.63,0.02,2285.41,1660.77,624.64
2024-11-23,2024,11,San Antonio,Consumer,In-Store,Office Supplies,Office Supplies,Notebook,28,75.24,0.22,1643.24,1261.1,382.14
2024-11-13,2024,11,Philadelphia,Corporate,Online,Furniture,Furniture,Standing Desk,9,555.39,0.14,4298.72,3829.14,469.58
2024-04-07,2024,4,New York,Home Office,Online,Office Supplies,Office Supplies,Printer Paper,64,248.66,0.01,15755.1,13039.82,2715.28
2024-03-21,2024,3,San Diego,Small Business,Online,Clothing,Clothing,Sneakers,21,502.55,0.03,10236.94,7977.99,2258.95
2024-11-22,2024,11,Los Angeles,Corporate,In-Store,Office Supplies,Office Supplies,Printer Paper,2,531.1,0.04,1019.71,653.72,365.99
2024-06-08,2024,6,Los Angeles,Corporate,In-Store,Clothing,Clothing,Socks,17,754.45,0.09,11671.34,8700.13,2971.21
2025-09-12,2025,9,San Diego,Consumer,In-Store,Office Supplies,Office Supplies,Stapler,35,309.87,0.09,9869.36,8800.09,1069.27
2025-07-29,2025,7,San Diego,Corporate,In-Store,Clothing,Clothing,Men's T-Shirt,51,471.38,0.03,23319.17,16596.25,6722.92
2025-05-14,2025,5,Chicago,Small Business,In-Store,Clothing,Clothing,Socks,12,760.23,0.02,8940.3,5671.43,3268.87
2025-01-04,2025,1,New York,Consumer,In-Store,Furniture,Furniture,Office Chair,52,525.82,0.2,21874.11,15055.66,6818.45
2024-06-11,2024,6,Houston,Small Business,In-Store,Clothing,Clothing,Jacket,91,989.4,0.27,65725.84,50096.66,15629.18
2025-02-13,2025,2,San Antonio,Corporate,In-Store,Clothing,Clothing,Men's T-Shirt,76,585.41,0.16,37372.57,24208.45,13164.12
2025-03-14,2025,3,San Antonio,Small Business,Online,Office Supplies,Office Supplies,Ballpoint Pen,78,784.48,0.14,52622.92,43620.68,9002.24
2023-10-15,2023,10,San Jose,Small Business,In-Store,Office Supplies,Office Supplies,Stapler,99,83.83,0.2,6639.34,5762.58,876.76
2024-04-13,2024,4,San Jose,Home Office,Online,Clothing,Clothing,Women's Jeans,17,81.78,0.23,1070.5,886.78,183.72
2024-10-16,2024,10,San Antonio,Home Office,In-Store,Furniture,Furniture,Standing Desk,41,708.26,0.26,21488.61,16219.05,5269.56
2024-08-14,2024,8,Houston,Small Business,Online,Clothing,Clothing,Jacket,69,608.27,0.1,37773.57,25861.49,11912.08
2023-07-24,2023,7,New York,Small Business,Online,Clothing,Clothing,Socks,85,265.78,0.04,21687.65,19120.13,2567.52
2025-01-20,2025,1,San Jose,Corporate,In-Store,Clothing,Clothing,Socks,15,234.81,0.15,2993.83,2349.64,644.19
2025-09-14,2025,9,Dallas,Corporate,Online,Electronics,Electronics,Sony WH-1000XM5,92,539.74,0.18,40717.99,35238.84,5479.15
2023-01-09,2023,1,Dallas,Home Office,Online,Clothing,Clothing,Jacket,64,850.9,0.1,49011.84,43621.68,5390.16
2024-08-19,2024,8,New York,Home Office,In-Store,Clothing,Clothing,Socks,81,209.49,0.08,15611.19,13156.33,2454.86
2024-12-06,2024,12,San Diego,Small Business,In-Store,Office Supplies,Office Supplies,Notebook,7,510.2,0.0,3571.4,2635.92,935.48
2023-01-06,2023,1,Los Angeles,Small Business,Online,Electronics,Electronics,Samsung Galaxy S23,69,542.98,0.22,29223.18,25460.66,3762.52
2023-04-16,2023,4,San Jose,Consumer,Online,Furniture,Furniture,File Cabinet,95,551.68,0.13,45596.35,28854.31,16742.04
2023-07-19,2023,7,Houston,Small Business,In-Store,Office Supplies,Office Supplies,Desk Lamp,4,623.99,0.27,1822.05,1230.45,591.6
2025-05-11,2025,5,Phoenix,Home Office,Online,Office Supplies,Office Supplies,Stapler,65,592.38,0.21,30418.71,23803.27,6615.44
2025-05-22,2025,5,Chicago,Home Office,In-Store,Clothing,Clothing,Sneakers,13,921.57,0.04,11501.19,7324.3,4176.89
2024-06-13,2024,6,Chicago,Consumer,Online,Clothing,Clothing,Women's Jeans,2,957.97,0.24,1456.11,1041.91,414.2
2025-06-09,2025,6,New York,Home Office,Online,Office Supplies,Office Supplies,Notebook,21,417.5,0.05,8329.12,6358.47,1970.65
2023-10-03,2023,10,San Antonio,Small Business,In-Store,Office Supplies,Office Supplies,Notebook,26,92.2,0.29,1702.01,1258.51,443.5
2024-01-25,2024,1,Houston,Corporate,Online,Electronics,Electronics,iPhone 14 Pro,82,631.54,0.04,49714.83,30910.69,18804.14
2024-06-11,2024,6,San Antonio,Small Business,In-Store,Office Supplies,Office Supplies,Desk Lamp,35,146.03,0.06,4804.39,2900.17,1904.22
2025-07-25,2025,7,New York,Consumer,Online,Office Supplies,Office Supplies,Ballpoint Pen,78,60.76,0.17,3933.6,3528.1,405.5
2025-12-20,2025,12,New York,Small Business,Online,Office Supplies,Office Supplies,Ballpoint Pen,34,288.83,0.17,8150.78,7326.92,823.86
2023-05-08,2023,5,Philadelphia,Consumer,In-Store,Furniture,Furniture,File Cabinet,8,996.47,0.13,6935.43,5676.53,1258.9
2023-06-14,2023,6,San Diego,Home Office,In-Store,Clothing,Clothing,Women's Jeans,79,304.71,0.2,19257.67,14494.69,4762.98
2023-06-30,2023,6,Philadelphia,Consumer,Online,Furniture,Furniture,Standing Desk,60,496.87,0.15,25340.37,21849.93,3490.44
2024-10-10,2024,10,New York,Consumer,Online,Furniture,Furniture,Standing Desk,52,119.01,0.14,5322.13,4280.73,1041.4
2025-12-15,2025,12,Chicago,Home Office,Online,Office Supplies,Office Supplies,Desk Lamp,80,293.01,0.04,22503.17,18418.94,4084.23
2025-03-02,2025,3,Los Angeles,Home Office,In-Store,Furniture,Furniture,Standing Desk,25,960.39,0.1,21608.78,14302.03,7306.75
2023-07-26,2023,7,New York,Small Business,In-Store,Clothing,Clothing,Sneakers,63,821.01,0.04,49654.68,39263.86,10390.82
2023-01-18,2023,1,Phoenix,Home Office,Online,Clothing,Clothing,Women's Jeans,24,432.59,0.04,9966.87,7628.66,2338.21
2024-12-24,2024,12,Phoenix,Small Business,In-Store,Office Supplies,Office Supplies,Notebook,90,323.38,0.26,21537.11,18407.28,3129.83
2023-12-31,2023,12,Philadelphia,Corporate,In-Store,Clothing,Clothing,Men's T-Shirt,67,158.39,0.05,10081.52,6568.56,3512.96
2024-04-05,2024,4,Chicago,Consumer,Online,Office Supplies,Office Supplies,Desk Lamp,99,801.1,0.25,59481.68,43869.64,15612.04
2023-03-10,2023,3,Phoenix,Consumer,In-Store,Clothing,Clothing,Men's T-Shirt,85,92.93,0.23,6082.27,3785.09,2297.18
2025-11-06,2025,11,Chicago,Small Business,Online,Furniture,Furniture,Bookshelf,16,658.08,0.17,8739.3,7785.45,953.85
2025-01-25,2025,1,Phoenix,Corporate,Online,Electronics,Electronics,Kindle Paperwhite,27,860.18,0.04,22295.87,13974.57,8321.3
2025-09-06,2025,9,Houston,Consumer,In-Store,Electronics,Electronics,MacBook Pro 16,85,806.89,0.17,56926.09,43759.42,13166.67
2024-03-03,2024,3,New York,Corporate,In-Store,Office Supplies,Office Supplies,Notebook,47,427.76,0.15,17089.01,10667.18,6421.83
2024-01-26,2024,1,Los Angeles,Home Office,Online,Office Supplies,Office Supplies,Ballpoint Pen,40,352.69,0.29,10016.4,8550.4,1466.0
2023-09-23,2023,9,Philadelphia,Small Business,Online,Office Supplies,Office Supplies,Stapler,4,837.18,0.14,2879.9,2541.1,338.8
2023-09-29,2023,9,San Jose,Home Office,Online,Office Supplies,Office Supplies,Desk Lamp,14,575.14,0.07,7488.32,5330.82,2157.5
2024-11-07,2024,11,Philadelphia,Consumer,In-Store,Clothing,Clothing,Sneakers,21,289.0,0.01,6008.31,4620.88,1387.43
2024-02-12,2024,2,San Diego,Small Business,In-Store,Clothing,Clothing,Socks,43,153.52,0.22,5149.06,3935.09,1213.97
2025-01-13,2025,1,Chicago,Small Business,In-Store,Clothing,Clothing,Jacket,62,928.26,0.15,48919.3,32595.74,16323.56
2025-09-08,2025,9,Philadelphia,Home Office,Online,Furniture,Furniture,Conference Table,46,222.99,0.22,8000.88,5651.28,2349.6
2025-11-10,2025,11,Philadelphia,Corporate,In-Store,Electronics,Electronics,Fitbit Versa 4,77,860.37,0.18,54323.76,45204.19,9119.57
2025-04-18,2025,4,San Diego,Consumer,Online,Furniture,Furniture,Bookshelf,12,241.22,0.13,2518.34,2198.42,319.92
2023-06-14,2023,6,San Jose,Small Business,Online,Electronics,Electronics,Kindle Paperwhite,41,108.55,0.19,3604.95,2385.77,1219.18
2024-10-12,2024,10,Houston,Consumer,Online,Electronics,Electronics,MacBook Pro 16,30,987.52,0.15,25181.76,21089.61,4092.15
2025-03-20,2025,3,Los Angeles,Home Office,In-Store,Clothing,Clothing,Jacket,89,888.35,0.07,73528.73,53959.99,19568.74
2023-07-24,2023,7,Philadelphia,Home Office,Online,Electronics,Electronics,Sony WH-1000XM5,89,39.94,0.25,2665.99,2335.86,330.13
2023-07-03,2023,7,San Diego,Corporate,In-Store,Clothing,Clothing,Men's T-Shirt,93,652.7,0.29,43097.78,37054.83,6042.95
2023-12-10,2023,12,San Diego,Consumer,Online,Clothing,Clothing,Women's Jeans,86,226.29,0.24,14790.31,10223.13,4567.18
2024-02-03,2024,2,San Diego,Corporate,Online,Office Supplies,Office Supplies,Printer Paper,64,313.59,0.29,14249.53,10636.8,3612.73
2025-06-04,2025,6,Dallas,Home Office,Online,Furniture,Furniture,File Cabinet,21,732.86,0.29,10926.94,7222.0,3704.94
2025-06-11,2025,6,New York,Small Business,In-Store,Electronics,Electronics,Nikon D3500 DSLR,33,690.92,0.2,18240.29,13162.74,5077.55
2025-08-20,2025,8,San Jose,Corporate,Online,Office Supplies,Office Supplies,Printer Paper,98,387.87,0.26,28128.33,21571.96,6556.37
2024-08-17,2024,8,San Diego,Consumer,Online,Electronics,Electronics,GoPro HERO11,73,859.43,0.11,55837.17,44434.06,11403.11
2025-08-30,2025,8,San Antonio,Consumer,In-Store,Office Supplies,Office Supplies,Printer Paper,62,434.68,0.21,21290.63,17668.87,3621.76
2025-09-10,2025,9,Los Angeles,Corporate,In-Store,Electronics,Electronics,Fitbit Versa 4,59,198.25,0.25,8772.56,6127.28,2645.28
2023-09-19,2023,9,Phoenix,Small Business,In-Store,Furniture,Furniture,Office Chair,75,604.67,0.12,39908.22,33844.75,6063.47
2025-06-15,2025,6,New York,Home Office,In-Store,Office Supplies,Office Supplies,Notebook,1,134.74,0.03,130.7,90.47,40.23
2024-10-20,2024,10,San Jose,Corporate,Online,Electronics,Electronics,Kindle Paperwhite,72,483.0,0.03,33732.72,20948.05,12784.67
2025-10-24,2025,10,Phoenix,Corporate,Online,Office Supplies,Office Supplies,Notebook,38,76.08,0.02,2833.22,2249.46,583.76
2024-08-01,2024,8,Houston,Consumer,Online,Clothing,Clothing,Men's T-Shirt,21,77.12,0.28,1166.05,705.19,460.86
2024-11-11,2024,11,New York,Consumer,Online,Electronics,Electronics,iPhone 14 Pro,84,953.03,0.29,56838.71,35351.29,21487.42
2025-07-23,2025,7,Los Angeles,Consumer,Online,Furniture,Furniture,Office Chair,38,443.14,0.01,16670.93,10974.09,5696.84
2025-07-10,2025,7,San Jose,Consumer,Online,Clothing,Clothing,Men's T-Shirt,25,24.47,0.19,495.52,389.81,105.71
2025-09-02,2025,9,Phoenix,Consumer,Online,Furniture,Furniture,Standing Desk,42,182.68,0.15,6521.68,5099.28,1422.4
2024-10-11,2024,10,Philadelphia,Consumer,In-Store,Electronics,Electronics,Sony WH-1000XM5,8,498.01,0.09,3625.51,2691.81,933.7
2023-06-11,2023,6,San Jose,Home Office,In-Store,Electronics,Electronics,Kindle Paperwhite,69,55.42,0.28,2753.27,1798.33,954.94
2024-11-13,2024,11,New York,Small Business,In-Store,Office Supplies,Office Supplies,Notebook,73,38.29,0.23,2152.28,1890.8,261.48
2023-09-26,2023,9,Phoenix,Corporate,Online,Electronics,Electronics,GoPro HERO11,96,981.13,0.11,83827.75,52111.53,31716.22
2024-06-16,2024,6,San Jose,Home Office,In-Store,Clothing,Clothing,Women's Jeans,67,858.23,0.13,50026.23,42227.74,7798.49
2025-09-18,2025,9,Houston,Consumer,Online,Office Supplies,Office Supplies,Printer Paper,80,555.75,0.01,44015.4,33797.07,10218.33
2023-01-28,2023,1,Los Angeles,Corporate,Online,Furniture,Furniture,Conference Table,3,568.08,0.27,1244.1,1006.62,237.48
2024-06-05,2024,6,Los Angeles,Small Business,In-Store,Electronics,Electronics,Nikon D3500 DSLR,35,772.16,0.0,27025.6,24196.19,2829.41
2023-08-05,2023,8,San Diego,Corporate,Online,Electronics,Electronics,Fitbit Versa 4,89,567.19,0.18,41393.53,28451.37,12942.16
2023-07-05,2023,7,Philadelphia,Home Office,Online,Furniture,Furniture,File Cabinet,7,412.69,0.19,2339.95,1677.06,662.89
2023-11-12,2023,11,New York,Consumer,In-Store,Furniture,Furniture,Bookshelf,51,827.74,0.25,31661.06,22515.94,9145.12
2025-09-18,2025,9,New York,Consumer,Online,Clothing,Clothing,Jacket,90,187.33,0.19,13656.36,10304.33,3352.03
2024-05-05,2024,5,Phoenix,Home Office,Online,Office Supplies,Office Supplies,Notebook,37,722.46,0.21,21117.51,17115.4,4002.11
2024-12-01,2024,12,Dallas,Consumer,In-Store,Clothing,Clothing,Socks,94,581.09,0.14,46975.32,36424.77,10550.55
2024-07-21,2024,7,Phoenix,Home Office,In-Store,Clothing,Clothing,Women's Jeans,34,347.5,0.11,10515.35,8558.4,1956.95
2024-03-08,2024,3,Dallas,Corporate,In-Store,Electronics,Electronics,Sony WH-1000XM5,57,291.49,0.07,15451.88,12816.89,2634.99
2023-03-26,2023,3,Chicago,Small Business,Online,Clothing,Clothing,Men's T-Shirt,16,65.7,0.07,977.62,626.93,350.69
2025-02-01,2025,2,New York,Corporate,Online,Clothing,Clothing,Sneakers,81,255.02,0.23,15905.6,12404.43,3501.17
2024-07-08,2024,7,Chicago,Home Office,In-Store,Furniture,Furniture,Standing Desk,37,156.92,0.02,5689.92,4678.69,1011.23
2025-07-30,2025,7,New York,Small Business,In-Store,Electronics,Electronics,GoPro HERO11,100,96.8,0.3,6776.0,4582.44,2193.56
2023-02-09,2023,2,San Antonio,Consumer,Online,Clothing,Clothing,Sneakers,72,727.16,0.29,37172.42,27132.26,10040.16
2025-08-04,2025,8,Dallas,Consumer,Online,Furniture,Furniture,Conference Table,34,436.06,0.3,10378.23,8260.58,2117.65
2024-01-28,2024,1,Dallas,Small Business,Online,Office Supplies,Office Supplies,Notebook,81,991.21,0.1,72259.21,54416.71,17842.5
2023-10-10,2023,10,San Jose,Consumer,In-Store,Clothing,Clothing,Jacket,47,170.21,0.08,7359.88,5295.73,2064.15
2025-09-10,2025,9,San Jose,Home Office,In-Store,Electronics,Electronics,Fitbit Versa 4,18,388.91,0.2,5600.3,3896.35,1703.95
2023-12-02,2023,12,New York,Consumer,In-Store,Clothing,Clothing,Sneakers,8,603.7,0.14,4153.46,3506.76,646.7
2023-02-11,2023,2,Los Angeles,Small Business,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,22,834.2,0.09,16700.68,13994.24,2706.44
2024-11-23,2024,11,Chicago,Small Business,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,81,850.02,0.15,58523.88,49496.66,9027.22
2024-02-24,2024,2,New York,Consumer,In-Store,Furniture,Furniture,Standing Desk,63,211.47,0.11,11857.12,9139.75,2717.37
2025-03-02,2025,3,Los Angeles,Home Office,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,47,368.81,0.28,12480.53,8493.89,3986.64
2024-05-23,2024,5,Dallas,Small Business,In-Store,Electronics,Electronics,Kindle Paperwhite,80,284.52,0.01,22533.98,15560.07,6973.91
2025-09-11,2025,9,Los Angeles,Home Office,Online,Office Supplies,Office Supplies,Printer Paper,57,147.15,0.07,7800.42,4829.51,2970.91
2025-03-13,2025,3,San Antonio,Consumer,In-Store,Electronics,Electronics,iPhone 14 Pro,4,645.53,0.23,1988.23,1672.07,316.16
2024-11-28,2024,11,New York,Home Office,In-Store,Clothing,Clothing,Women's Jeans,65,730.56,0.25,35614.8,21930.08,13684.72
2025-01-06,2025,1,San Antonio,Consumer,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,77,993.64,0.22,59678.02,46325.08,13352.94
2025-01-15,2025,1,New York,Small Business,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,97,786.39,0.13,66363.45,43921.33,22442.12
2024-03-25,2024,3,San Diego,Small Business,Online,Furniture,Furniture,Standing Desk,60,344.29,0.23,15906.2,11037.32,4868.88
2024-06-14,2024,6,Phoenix,Corporate,In-Store,Clothing,Clothing,Jacket,58,317.22,0.02,18030.78,15352.39,2678.39
2023-02-26,2023,2,San Jose,Home Office,Online,Furniture,Furniture,Office Chair,41,544.83,0.1,20104.23,16026.59,4077.64
2025-12-22,2025,12,New York,Corporate,Online,Office Supplies,Office Supplies,Desk Lamp,50,485.28,0.22,18925.92,13010.95,5914.97
2025-12-14,2025,12,San Diego,Corporate,In-Store,Electronics,Electronics,Dell XPS 13,44,125.76,0.14,4758.76,4250.01,508.75
2024-07-08,2024,7,New York,Corporate,In-Store,Electronics,Electronics,Fitbit Versa 4,51,686.78,0.2,28020.62,17211.41,10809.21
2025-12-27,2025,12,Chicago,Small Business,In-Store,Office Supplies,Office Supplies,Stapler,100,367.18,0.06,34514.92,24481.44,10033.48
2025-01-14,2025,1,Houston,Corporate,Online,Clothing,Clothing,Jacket,84,900.06,0.12,66532.44,43310.52,23221.92
2025-02-04,2025,2,Los Angeles,Consumer,Online,Office Supplies,Office Supplies,Stapler,14,132.48,0.23,1428.13,1201.73,226.4
2025-12-03,2025,12,Los Angeles,Home Office,Online,Electronics,Electronics,GoPro HERO11,25,723.33,0.15,15370.76,11239.57,4131.19
2023-04-18,2023,4,New York,Home Office,Online,Furniture,Furniture,Office Chair,15,550.56,0.19,6689.3,5154.45,1534.85
2024-11-28,2024,11,Houston,Consumer,In-Store,Electronics,Electronics,Fitbit Versa 4,23,467.76,0.22,8391.61,6659.24,1732.37
2025-12-05,2025,12,San Antonio,Consumer,In-Store,Office Supplies,Office Supplies,Stapler,43,366.38,0.1,14178.91,12760.44,1418.47
2024-10-30,2024,10,Dallas,Corporate,Online,Clothing,Clothing,Men's T-Shirt,9,695.29,0.08,5757.0,4320.44,1436.56
2025-06-24,2025,6,Phoenix,Small Business,In-Store,Office Supplies,Office Supplies,Desk Lamp,45,212.69,0.29,6795.45,4485.67,2309.78
2023-05-22,2023,5,New York,Corporate,In-Store,Furniture,Furniture,Conference Table,5,453.97,0.05,2156.36,1805.37,350.99
2025-06-09,2025,6,San Jose,Consumer,Online,Office Supplies,Office Supplies,Notebook,4,297.08,0.14,1021.96,849.2,172.76
2025-02-06,2025,2,Chicago,Small Business,Online,Electronics,Electronics,Dell XPS 13,58,824.72,0.1,43050.38,30751.51,12298.87
2024-06-25,2024,6,San Jose,Consumer,Online,Clothing,Clothing,Sneakers,16,156.71,0.1,2256.62,1966.53,290.09
2024-07-20,2024,7,Phoenix,Corporate,In-Store,Electronics,Electronics,Fitbit Versa 4,71,965.79,0.2,54856.87,34735.01,20121.86
2025-12-03,2025,12,Dallas,Small Business,In-Store,Clothing,Clothing,Women's Jeans,69,674.23,0.0,46521.87,35868.27,10653.6
2025-04-05,2025,4,San Antonio,Corporate,In-Store,Clothing,Clothing,Men's T-Shirt,5,928.26,0.23,3573.8,2672.75,901.05
2025-10-23,2025,10,San Antonio,Home Office,In-Store,Furniture,Furniture,Office Chair,21,550.36,0.11,10286.23,6586.95,3699.28
2024-04-05,2024,4,Phoenix,Consumer,Online,Clothing,Clothing,Men's T-Shirt,9,973.7,0.08,8062.24,6926.1,1136.14
2024-06-09,2024,6,Phoenix,Consumer,In-Store,Clothing,Clothing,Men's T-Shirt,68,835.64,0.21,44890.58,29554.61,15335.97
2025-01-14,2025,1,San Antonio,Small Business,Online,Office Supplies,Office Supplies,Stapler,9,94.67,0.27,621.98,474.55,147.43
2024-03-11,2024,3,Phoenix,Small Business,In-Store,Furniture,Furniture,Standing Desk,47,530.6,0.28,17955.5,11717.25,6238.25
2023-07-21,2023,7,New York,Home Office,Online,Office Supplies,Office Supplies,Ballpoint Pen,87,94.45,0.21,6491.55,4561.92,1929.63
2024-04-14,2024,4,New York,Home Office,Online,Office Supplies,Office Supplies,Printer Paper,59,395.9,0.02,22890.94,18369.83,4521.11
2024-03-17,2024,3,Los Angeles,Corporate,In-Store,Office Supplies,Office Supplies,Stapler,66,31.8,0.16,1762.99,1258.11,504.88
2023-03-04,2023,3,San Antonio,Small Business,In-Store,Clothing,Clothing,Men's T-Shirt,45,591.05,0.12,23405.58,19809.2,3596.38
2024-02-03,2024,2,San Diego,Small Business,In-Store,Clothing,Clothing,Women's Jeans,40,666.4,0.19,21591.36,16633.45,4957.91
2024-07-25,2024,7,Phoenix,Home Office,Online,Office Supplies,Office Supplies,Printer Paper,88,793.86,0.16,58682.13,41616.54,17065.59
